,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2019-07-15,204.0900,205.8700,204.0000,205.2100,205.2100,16934995,0.0000,1.0000
2019-07-12,202.4500,204.0000,202.2000,203.3000,203.3000,17595212,0.0000,1.0000
2019-07-11,203.3100,204.3900,201.7100,201.7500,201.7500,20191842,0.0000,1.0000
2019-07-10,201.8500,203.7300,201.5600,203.2300,203.2300,17897138,0.0000,1.0000
2019-07-09,199.2000,201.5100,198.8100,201.2400,201.2400,20578015,0.0000,1.0000
2019-07-08,200.8100,201.4000,198.4100,200.0200,200.0200,25338628,0.0000,1.0000
2019-07-05,203.3500,205.0800,202.9000,204.2300,204.2300,17265518,0.0000,1.0000
2019-07-03,203.2800,204.4400,202.6901,204.4100,204.4100,11362045,0.0000,1.0000
2019-07-02,201.4100,203.1323,201.3600,202.7300,202.7300,16935217,0.0000,1.0000
2019-07-01,203.1700,204.4900,200.6500,201.5500,201.5500,27316739,0.0000,1.0000
2019-06-28,198.6800,199.4950,197.0500,197.9200,197.9200,31110642,0.0000,1.0000
2019-06-27,200.2900,201.5700,199.5700,199.7400,199.7400,20899717,0.0000,1.0000
2019-06-26,197.7700,200.9900,197.3500,199.8000,199.8000,26067512,0.0000,1.0000
2019-06-25,198.4300,199.2600,195.2900,195.5700,195.5700,21070334,0.0000,1.0000
2019-06-24,198.5400,200.1600,198.1700,198.5800,198.5800,18220421,0.0000,1.0000
2019-06-21,198.8000,200.8500,198.1500,198.7800,198.7800,47800589,0.0000,1.0000
2019-06-20,200.3700,200.6100,198.0300,199.4600,199.4600,21513988,0.0000,1.0000
2019-06-19,199.6800,199.8800,197.3100,197.8700,197.8700,21124235,0.0000,1.0000
2019-06-18,196.0500,200.2900,195.2100,198.4500,198.4500,26551004,0.0000,1.0000
2019-06-17,192.9000,194.9600,192.1700,193.8900,193.8900,14669144,0.0000,1.0000
2019-06-14,191.5450,193.5863,190.3000,192.7400,192.7400,18761474,0.0000,1.0000
2019-06-13,194.7000,196.7900,193.6000,194.1500,194.1500,21674625,0.0000,1.0000
2019-06-12,193.9500,195.9700,193.3850,194.1900,194.1900,18253189,0.0000,1.0000
2019-06-11,194.8600,196.0000,193.6000,194.8100,194.8100,26932882,0.0000,1.0000
2019-06-10,191.8100,195.3700,191.6200,192.5800,192.5800,26220851,0.0000,1.0000
2019-06-07,186.5100,191.9200,185.7700,190.1500,190.1500,30684393,0.0000,1.0000
2019-06-06,183.0800,185.4700,182.1489,185.2200,185.2200,22526311,0.0000,1.0000
2019-06-05,184.2800,184.9900,181.1400,182.5400,182.5400,29773427,0.0000,1.0000
2019-06-04,175.4400,179.8300,174.5200,179.6400,179.6400,30967961,0.0000,1.0000
2019-06-03,175.6000,177.9200,170.2700,173.3000,173.3000,40396069,0.0000,1.0000
2019-05-31,176.2300,177.9900,174.9900,175.0700,175.0700,27043584,0.0000,1.0000
2019-05-30,177.9500,179.2300,176.6700,178.3000,178.3000,21218412,0.0000,1.0000
2019-05-29,176.4200,179.3500,176.0000,177.3800,177.3800,28481165,0.0000,1.0000
2019-05-28,178.9200,180.5900,177.9100,178.2300,178.2300,27948160,0.0000,1.0000
