DateTime,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SYMBOL
2019-07-16,14.8000,15.1800,14.6031,14.9400,14.9400,3166810,0.0000,1.0000,CRON
2019-07-15,14.2200,14.9500,13.9100,14.8800,14.8800,4564812,0.0000,1.0000,CRON
2019-07-12,15.1500,15.1600,14.1000,14.2400,14.2400,8861229,0.0000,1.0000,CRON
2019-07-11,15.4600,15.8500,15.0250,15.1500,15.1500,3925424,0.0000,1.0000,CRON
2019-07-10,15.5600,15.7400,15.2800,15.2900,15.2900,2005253,0.0000,1.0000,CRON
2019-07-09,14.9800,15.6700,14.8800,15.5300,15.5300,2886273,0.0000,1.0000,CRON
2019-07-08,15.1700,15.2000,14.9200,15.1000,15.1000,2566721,0.0000,1.0000,CRON
2019-07-05,15.1500,15.3500,14.9635,15.2900,15.2900,2010719,0.0000,1.0000,CRON
2019-07-03,15.4800,15.5400,14.8300,15.2400,15.2400,3951416,0.0000,1.0000,CRON
2019-07-02,16.0300,16.0300,15.4000,15.5100,15.5100,3419685,0.0000,1.0000,CRON
2019-07-01,16.2500,16.3400,15.6000,16.0200,16.0200,3332788,0.0000,1.0000,CRON
2019-06-28,16.1000,16.3514,15.8200,15.9800,15.9800,3131240,0.0000,1.0000,CRON
2019-06-27,15.9000,16.4500,15.8300,15.9700,15.9700,4453524,0.0000,1.0000,CRON
2019-06-26,15.8200,16.0100,15.6450,15.8700,15.8700,2033977,0.0000,1.0000,CRON
2019-06-25,16.0600,16.1200,15.6100,15.7900,15.7900,3017876,0.0000,1.0000,CRON
2019-06-24,15.9300,16.1200,15.3700,16.0900,16.0900,3989708,0.0000,1.0000,CRON
2019-06-21,15.9100,16.0750,15.2500,15.9400,15.9400,6639255,0.0000,1.0000,CRON
2019-06-20,16.1700,16.9000,16.1000,16.4300,16.4300,7136110,0.0000,1.0000,CRON
2019-06-19,15.7100,16.1700,15.6200,15.8500,15.8500,3791691,0.0000,1.0000,CRON
2019-06-18,15.9800,16.1000,15.5300,15.7100,15.7100,3576926,0.0000,1.0000,CRON
2019-06-17,15.4400,15.9700,15.0200,15.8500,15.8500,4348719,0.0000,1.0000,CRON
2019-06-14,16.1600,16.2000,15.3600,15.4400,15.4400,5706018,0.0000,1.0000,CRON
2019-06-13,17.1800,17.4600,16.1700,16.3600,16.3600,5658373,0.0000,1.0000,CRON
2019-06-12,16.8400,17.3300,16.6900,17.1000,17.1000,3462231,0.0000,1.0000,CRON
2019-06-11,17.7300,17.8600,16.5800,16.9700,16.9700,5717279,0.0000,1.0000,CRON
2019-06-10,16.3100,17.5500,16.2500,17.3900,17.3900,9728882,0.0000,1.0000,CRON
2019-06-07,15.8200,16.2700,15.7500,15.9400,15.9400,4449693,0.0000,1.0000,CRON
2019-06-06,16.0000,16.2200,15.3100,15.7700,15.7700,5726306,0.0000,1.0000,CRON
2019-06-05,15.9700,16.7000,15.2300,15.9900,15.9900,17770190,0.0000,1.0000,CRON
2019-06-04,13.7400,14.4500,13.6492,14.4200,14.4200,4066310,0.0000,1.0000,CRON
2019-06-03,13.9400,14.3500,13.5100,13.5800,13.5800,4273861,0.0000,1.0000,CRON
2019-05-31,14.7100,14.8500,13.9000,14.0800,14.0800,5719338,0.0000,1.0000,CRON
2019-05-30,15.3000,15.6600,14.8200,14.9000,14.9000,3324634,0.0000,1.0000,CRON
2019-05-29,15.6000,15.7000,14.9000,15.2400,15.2400,3866682,0.0000,1.0000,CRON
2019-05-28,15.7700,16.1700,15.5065,15.6500,15.6500,4206091,0.0000,1.0000,CRON
2019-05-24,15.4900,16.0300,15.3300,15.3800,15.3800,3621656,0.0000,1.0000,CRON
2019-05-23,15.8800,16.1100,15.1700,15.3700,15.3700,4260822,0.0000,1.0000,CRON
2019-05-22,15.6600,16.5500,15.4000,16.1300,16.1300,5779030,0.0000,1.0000,CRON
2019-05-21,14.8500,15.6700,14.8500,15.6000,15.6000,4667136,0.0000,1.0000,CRON
2019-05-20,14.8800,14.9800,14.4493,14.7500,14.7500,1859244,0.0000,1.0000,CRON
2019-05-17,14.9900,15.3500,14.7937,14.9300,14.9300,3197089,0.0000,1.0000,CRON
2019-05-16,15.2500,15.4300,15.0700,15.1800,15.1800,3233719,0.0000,1.0000,CRON
2019-05-15,15.2300,15.3300,14.7200,15.1500,15.1500,4125753,0.0000,1.0000,CRON
2019-05-14,14.5700,15.6000,14.5700,15.2400,15.2400,6442360,0.0000,1.0000,CRON
2019-05-13,15.1700,15.3500,14.0500,14.2500,14.2500,6082264,0.0000,1.0000,CRON
2019-05-10,14.1900,15.4000,14.1500,15.4000,15.4000,10430853,0.0000,1.0000,CRON
2019-05-09,15.7600,15.9000,13.9000,14.0900,14.0900,10025910,0.0000,1.0000,CRON
2019-05-08,15.3000,15.8300,15.0700,15.4600,15.4600,4855282,0.0000,1.0000,CRON
2019-05-07,16.0800,16.3700,15.2600,15.4400,15.4400,4613874,0.0000,1.0000,CRON
2019-05-06,16.0700,16.3800,15.8200,16.3400,16.3400,3875372,0.0000,1.0000,CRON
2019-05-03,16.7300,16.9300,16.4400,16.5700,16.5700,3386070,0.0000,1.0000,CRON
2019-05-02,16.9500,17.0440,16.1800,16.6800,16.6800,4430125,0.0000,1.0000,CRON
2019-05-01,17.3400,17.3700,16.8100,17.0600,17.0600,3982203,0.0000,1.0000,CRON
2019-04-30,17.0200,17.6700,16.8400,17.1600,17.1600,5408641,0.0000,1.0000,CRON
2019-04-29,17.1700,17.4500,16.6600,17.0100,17.0100,5500233,0.0000,1.0000,CRON
2019-04-26,16.4100,17.4000,16.3505,17.1600,17.1600,5950888,0.0000,1.0000,CRON
2019-04-25,16.6000,16.7900,16.2800,16.5200,16.5200,3729502,0.0000,1.0000,CRON
2019-04-24,16.2400,17.1700,16.1400,16.5900,16.5900,5852921,0.0000,1.0000,CRON
2019-04-23,16.8500,16.9000,16.0500,16.2800,16.2800,6468841,0.0000,1.0000,CRON
2019-04-22,15.7000,17.0000,15.5500,16.8600,16.8600,7373338,0.0000,1.0000,CRON
2019-04-18,16.6000,17.1200,15.6507,15.7500,15.7500,8986088,0.0000,1.0000,CRON
2019-04-17,15.5600,16.1100,15.5300,15.9200,15.9200,6146824,0.0000,1.0000,CRON
2019-04-16,15.7200,16.3900,15.7000,15.7900,15.7900,7022895,0.0000,1.0000,CRON
2019-04-15,16.7400,17.1200,15.4700,15.7800,15.7800,9608360,0.0000,1.0000,CRON
2019-04-12,17.0000,17.6500,16.8300,17.0400,17.0400,6490843,0.0000,1.0000,CRON
2019-04-11,17.9700,18.0400,16.6000,16.8500,16.8500,8458473,0.0000,1.0000,CRON
2019-04-10,17.4800,18.1385,17.4700,18.0200,18.0200,3455185,0.0000,1.0000,CRON
2019-04-09,17.4200,17.9313,17.3100,17.7000,17.7000,4211010,0.0000,1.0000,CRON
2019-04-08,18.3500,18.4200,17.4800,17.5600,17.5600,6756083,0.0000,1.0000,CRON
2019-04-05,18.3800,18.5300,18.1500,18.4000,18.4000,3131585,0.0000,1.0000,CRON
2019-04-04,18.1000,18.5700,18.1000,18.2700,18.2700,3243256,0.0000,1.0000,CRON
2019-04-03,18.0700,18.6200,17.8800,18.1600,18.1600,4637142,0.0000,1.0000,CRON
2019-04-02,18.5000,18.7600,18.1100,18.2600,18.2600,4585313,0.0000,1.0000,CRON
2019-04-01,18.6000,18.6800,18.0700,18.6100,18.6100,5302188,0.0000,1.0000,CRON
2019-03-29,19.0000,19.2400,18.2100,18.4300,18.4300,6708243,0.0000,1.0000,CRON
2019-03-28,17.7500,19.2800,17.2400,18.8400,18.8400,13586874,0.0000,1.0000,CRON
2019-03-27,19.5700,19.9200,17.7100,18.2400,18.2400,18418039,0.0000,1.0000,CRON
2019-03-26,19.6500,20.7400,19.3000,20.2400,20.2400,15741928,0.0000,1.0000,CRON
2019-03-25,19.3300,21.1000,19.3000,20.5300,20.5300,16209762,0.0000,1.0000,CRON
2019-03-22,20.4900,20.5900,19.2200,19.2300,19.2300,10049131,0.0000,1.0000,CRON
2019-03-21,21.2900,21.5100,20.5200,20.5400,20.5400,7140830,0.0000,1.0000,CRON
2019-03-20,21.3800,21.8800,21.0300,21.2600,21.2600,5634856,0.0000,1.0000,CRON
2019-03-19,21.8900,22.0400,21.2400,21.4800,21.4800,6276058,0.0000,1.0000,CRON
2019-03-18,21.0000,21.7500,20.9900,21.6900,21.6900,6403077,0.0000,1.0000,CRON
2019-03-15,20.8200,21.0900,20.4700,21.0000,21.0000,5623586,0.0000,1.0000,CRON
2019-03-14,21.1400,21.4100,20.3600,20.8200,20.8200,7201759,0.0000,1.0000,CRON
2019-03-13,21.6000,22.3400,21.0100,21.1400,21.1400,9828912,0.0000,1.0000,CRON
2019-03-12,20.9500,22.0400,20.5265,21.3700,21.3700,9742462,0.0000,1.0000,CRON
2019-03-11,21.3900,21.8700,20.5676,20.9200,20.9200,11959629,0.0000,1.0000,CRON
2019-03-08,21.5400,22.1700,21.0910,21.7400,21.7400,8609903,0.0000,1.0000,CRON
