,,open,open,high,high,low,low,close,close
,,min,max,min,max,min,max,min,max
Year,Month,,,,,,,,
2002,5,180.14,188.44,180.28,188.45,180.14,188.41,180.25,188.44
2002,6,180.4,185.73,180.41,185.73,180.38,185.69,180.38,185.72
2002,7,180.6,189.33,180.63,189.33,180.56,189.3,180.6,189.33
2002,8,179.25,187.42,179.28,187.42,179.23,187.41,179.26,187.42
2002,9,182.45,193.3,182.51,193.32,182.44,193.25,182.45,193.31
2002,10,190.83,195.05,190.87,195.06,190.81,195.05,190.82,195.06
2002,11,187.73,194.5,187.8,194.51,187.71,194.47,187.74,194.51
2002,12,189.81,197.29,189.83,197.29,189.77,197.24,189.82,197.28
2003,1,188.85,197.69,188.9,197.71,188.82,197.68,188.84,197.7
2003,2,184.12,198.61,184.14,198.61,184.1,198.59,184.11,198.59
2003,3,184.85,190.67,184.96,190.67,184.72,190.55,184.86,190.66
2003,4,185.73,192.45,185.75,192.49,185.71,192.37,185.73,192.44
2003,5,185.16,196.15,185.23,196.18,185.13,196.12,185.15,196.16
2003,6,192.87,199.69,192.89,199.73,192.85,199.63,192.86,199.7
2003,7,186.83,199.02,186.83,199.02,186.82,198.97,186.83,199.01
2003,8,183.45,194.49,183.48,194.52,183.43,194.46,183.46,194.48
2003,9,181.39,188.94,181.42,188.95,181.35,188.94,181.4,188.94
2003,10,179.53,186.63,179.54,186.68,179.46,186.62,179.53,186.64
2003,11,180.49,189.72,180.53,189.73,180.48,189.71,180.5,189.72
2003,12,185.67,191.98,185.7,191.99,185.64,191.93,185.66,191.99
2004,1,190.36,197.97,190.37,198.2,190.31,197.92,190.35,197.95
2004,2,191.59,205.89,191.6,205.94,191.58,205.89,191.6,205.89
2004,3,189.82,208.05,189.88,208.13,189.67,208.0,189.81,208.06
2004,4,190.16,196.73,190.19,196.86,190.13,196.66,190.16,196.73
2004,5,194.15,204.05,194.21,204.07,194.14,204.02,194.14,204.05
2004,6,194.69,205.22,194.75,205.4,194.65,205.02,194.7,205.22
2004,7,196.01,204.22,196.07,204.23,195.96,204.19,196.0,204.21
2004,8,195.83,204.78,195.92,204.82,195.79,204.75,195.84,204.77
2004,9,193.77,202.53,193.81,202.54,193.74,202.5,193.79,202.52
2004,10,193.86,199.72,193.87,199.73,193.84,199.68,193.85,199.72
2004,11,191.07,198.01,191.1,198.03,191.0,197.99,191.06,198.0
2004,12,196.36,203.72,196.39,203.74,196.32,203.68,196.37,203.73
2005,1,189.61,197.27,189.67,197.35,189.59,197.22,189.6,197.28
2005,2,194.64,202.03,194.66,202.05,194.59,202.03,194.65,202.03
2005,3,197.6,202.9,197.64,202.95,197.58,202.87,197.61,202.89
2005,4,199.79,205.38,199.86,205.4,199.79,205.35,199.81,205.37
2005,5,195.66,200.91,195.71,200.92,195.64,200.89,195.66,200.9
2005,6,194.23,200.45,194.27,200.45,194.22,200.39,194.22,200.44
2005,7,192.82,197.9,192.86,197.91,192.71,197.89,192.81,197.91
2005,8,196.85,200.33,196.88,200.36,196.83,200.27,196.86,200.32
2005,9,198.96,203.51,199.01,203.54,198.92,203.48,198.95,203.52
2005,10,199.31,206.65,199.32,206.68,199.27,206.61,199.3,206.64
2005,11,203.6,208.2,203.64,208.2,203.54,208.17,203.61,208.19
2005,12,201.19,213.11,201.26,213.11,201.19,213.0,201.21,213.09
2006,1,200.67,209.07,200.71,209.1,200.61,208.96,200.66,209.08
2006,2,201.74,211.17,201.8,211.2,201.72,211.16,201.76,211.2
2006,3,202.6,206.25,202.63,206.27,202.57,206.22,202.59,206.24
2006,4,203.96,210.88,203.99,210.89,203.87,210.79,203.95,210.89
2006,5,205.5,211.53,205.53,211.53,205.47,211.53,205.52,211.53
2006,6,209.65,213.76,209.67,213.77,209.65,213.74,209.66,213.75
2006,7,209.66,216.59,209.69,216.64,209.61,216.53,209.66,216.58
2006,8,213.68,223.88,213.7,223.9,213.65,223.85,213.68,223.88
2006,9,217.46,223.66,217.57,223.68,217.43,223.62,217.45,223.67
2006,10,220.56,224.39,220.59,224.42,220.54,224.36,220.54,224.39
2006,11,222.47,227.9,222.49,227.9,222.44,227.86,222.47,227.9
2006,12,225.81,233.94,225.86,233.95,225.77,233.9,225.8,233.95
2007,1,228.16,241.53,228.18,241.58,228.14,241.51,228.16,241.54
2007,2,230.85,238.94,231.06,238.97,230.72,238.85,230.86,238.95
2007,3,221.17,233.06,221.19,233.1,221.14,233.04,221.16,233.05
2007,4,231.32,239.5,231.32,239.51,231.3,239.44,231.31,239.49
2007,5,236.61,241.89,236.66,241.91,236.47,241.86,236.59,241.9
2007,6,237.76,248.0,237.84,248.0,237.73,247.98,237.76,247.99
2007,7,238.4,251.16,238.45,251.18,238.37,251.14,238.42,251.17
2007,8,219.41,244.12,219.74,244.15,219.39,244.09,219.42,244.11
2007,9,228.3,235.46,228.33,235.46,228.27,235.41,228.31,235.45
2007,10,230.42,240.71,230.51,240.73,230.36,240.67,230.41,240.72
2007,11,221.36,241.42,221.51,241.43,221.31,241.39,221.31,241.43
2007,12,221.05,230.36,221.09,230.41,221.02,230.3,221.06,230.35
2008,1,204.84,222.29,204.89,222.31,204.68,222.29,204.83,222.3
2008,2,206.01,213.92,206.05,213.95,205.96,213.86,206.0,213.91
2008,3,192.76,208.0,192.79,208.04,192.69,207.97,192.75,207.99
2008,4,197.11,209.04,197.2,209.04,197.08,208.9,197.08,209.03
